model,patent,orig,syn,diff
qwen3-0.6B,MX-2025005709-A,0.0,0.0,0.0
qwen3-0.6B,MX-2025007733-A,0.0,0.5,-0.5
qwen3-0.6B,MX-2025008227-A,0.5,1.0,-0.5
qwen3-0.6B,MX-2025008260-A,0.6666666666666666,0.0,0.6666666666666666
qwen3-0.6B,MX-2025009739-A,0.16666666666666666,0.25,-0.08333333333333334
qwen3-0.6B,MX-2025010085-A,0.5,1.0,-0.5
qwen3-0.6B,WO-2021255541-A1,0.5,0.0,0.5
qwen3-0.6B,WO-2024245507-A9,0.3333333333333333,0.75,-0.4166666666666667
qwen3-0.6B,WO-2025153617-A3,1.0,0.0,1.0
qwen3-0.6B,WO-2025186592-A8,0.5,1.0,-0.5
qwen3-0.6B,WO-2025187712-A8,0.0,0.0,0.0
qwen3-0.6B,WO-2025192625-A1,0.0,0.0,0.0
qwen3-0.6B,WO-2025201936-A1,0.0,0.0,0.0
qwen3-0.6B,WO-2025204469-A1,0.0,0.25,-0.25
qwen3-0.6B,WO-2025211147-A1,0.0,0.0,0.0
qwen3-0.6B,WO-2025216711-A1,0.6666666666666666,1.0,-0.33333333333333337
nomic-v2-moe,EP-4626962-A1,0.75,1.0,-0.25
nomic-v2-moe,EP-4630253-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4630574-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4633415-A1,0.0,0.5,-0.5
nomic-v2-moe,EP-4633662-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4633950-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4634111-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4634136-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4634139-A1,1.0,1.0,0.0
nomic-v2-moe,EP-4634142-A1,0.0,0.5,-0.5
nomic-v2-moe,EP-4634248-A1,1.0,0.0,1.0
nomic-v2-moe,EP-4634596-A1,1.0,0.6666666666666666,0.33333333333333337
nomic-v2-moe,EP-4634597-A1,0.5,1.0,-0.5
nomic-v2-moe,EP-4634629-A1,0.0,0.0,0.0
nomic-v2-moe,EP-4634663-A1,0.5,1.0,-0.5
nomic-v2-moe,MX-2025002688-A,0.0,0.0,0.0
nomic-v2-moe,MX-2025005046-A,0.0,0.6666666666666666,-0.6666666666666666
nomic-v2-moe,MX-2025005421-A,0.0,0.0,0.0
nomic-v2-moe,MX-2025005709-A,0.0,0.0,0.0
nomic-v2-moe,MX-2025007733-A,0.16666666666666666,0.0,0.16666666666666666
nomic-v2-moe,MX-2025008227-A,1.0,1.0,0.0
nomic-v2-moe,MX-2025008260-A,0.3333333333333333,0.0,0.3333333333333333
nomic-v2-moe,MX-2025009739-A,0.0,0.25,-0.25
nomic-v2-moe,MX-2025010085-A,0.5,0.6666666666666666,-0.16666666666666663
nomic-v2-moe,WO-2021255541-A1,0.3333333333333333,0.0,0.3333333333333333
nomic-v2-moe,WO-2024245507-A9,0.3333333333333333,0.5,-0.16666666666666669
nomic-v2-moe,WO-2025153617-A3,0.0,0.0,0.0
nomic-v2-moe,WO-2025186592-A8,0.5,1.0,-0.5
nomic-v2-moe,WO-2025187712-A8,0.0,0.0,0.0
nomic-v2-moe,WO-2025192625-A1,0.0,0.0,0.0
nomic-v2-moe,WO-2025201936-A1,0.0,0.0,0.0
nomic-v2-moe,WO-2025204469-A1,0.0,0.0,0.0
nomic-v2-moe,WO-2025211147-A1,0.0,0.0,0.0
nomic-v2-moe,WO-2025216711-A1,1.0,1.0,0.0
granite-278m,EP-4626962-A1,1.0,1.0,0.0
granite-278m,EP-4630253-A1,0.0,0.0,0.0
granite-278m,EP-4630574-A1,0.0,0.0,0.0
granite-278m,EP-4633415-A1,0.0,1.0,-1.0
granite-278m,EP-4633662-A1,0.0,0.0,0.0
granite-278m,EP-4633950-A1,0.0,0.0,0.0
granite-278m,EP-4634111-A1,0.0,0.0,0.0
granite-278m,EP-4634136-A1,0.0,0.0,0.0
granite-278m,EP-4634139-A1,1.0,1.0,0.0
granite-278m,EP-4634142-A1,0.0,0.0,0.0
granite-278m,EP-4634248-A1,1.0,0.0,1.0
granite-278m,EP-4634596-A1,0.6666666666666666,0.3333333333333333,0.3333333333333333
granite-278m,EP-4634597-A1,0.0,0.0,0.0
granite-278m,EP-4634629-A1,0.0,0.0,0.0
granite-278m,EP-4634663-A1,0.5,1.0,-0.5
granite-278m,MX-2025002688-A,0.0,0.0,0.0
granite-278m,MX-2025005046-A,0.0,0.6666666666666666,-0.6666666666666666
granite-278m,MX-2025005421-A,0.0,0.0,0.0
granite-278m,MX-2025005709-A,0.0,0.0,0.0
granite-278m,MX-2025007733-A,0.16666666666666666,0.5,-0.33333333333333337
granite-278m,MX-2025008227-A,0.5,0.6666666666666666,-0.16666666666666663
granite-278m,MX-2025008260-A,0.5,0.0,0.5
granite-278m,MX-2025009739-A,0.16666666666666666,0.0,0.16666666666666666
granite-278m,MX-2025010085-A,0.5,0.6666666666666666,-0.16666666666666663
granite-278m,WO-2021255541-A1,0.16666666666666666,0.0,0.16666666666666666
granite-278m,WO-2024245507-A9,0.16666666666666666,0.25,-0.08333333333333334
granite-278m,WO-2025153617-A3,1.0,0.0,1.0
granite-278m,WO-2025186592-A8,0.5,0.6666666666666666,-0.16666666666666663
granite-278m,WO-2025187712-A8,0.0,0.0,0.0
granite-278m,WO-2025192625-A1,0.16666666666666666,0.0,0.16666666666666666
granite-278m,WO-2025201936-A1,0.0,0.25,-0.25
